,timestamp,EndCons
0,2022-01-01,1461628.582661458
1,2022-01-02,1477255.4354218757
2,2022-01-03,1703876.9322434897
3,2022-01-04,1728086.0025768217
4,2022-01-05,1892409.635920573
5,2022-01-06,1943764.5830455737
6,2022-01-07,1986508.314097656
7,2022-01-08,1771627.0079947917
8,2022-01-09,1670842.9857447923
9,2022-01-10,1991475.0432226572
10,2022-01-11,2045709.8003268226
11,2022-01-12,2090928.3333164062
12,2022-01-13,2111491.2073372398
13,2022-01-14,2071923.4277539065
14,2022-01-15,1852567.4737031248
15,2022-01-16,1733719.692682292
16,2022-01-17,1996451.5990247391
17,2022-01-18,2042751.5329414064
18,2022-01-19,2037164.8700976565
19,2022-01-20,2056623.7778476563
20,2022-01-21,2055391.6658059896
21,2022-01-22,1834674.3770989582
22,2022-01-23,1729921.7035364583
23,2022-01-24,2023150.14902474
24,2022-01-25,2041874.0679934893
25,2022-01-26,2065185.8041705731
26,2022-01-27,2066298.445451823
27,2022-01-28,1996664.5177851561
28,2022-01-29,1761403.1837031252
29,2022-01-30,1619545.1943697913
30,2022-01-31,2001157.14077474
31,2022-02-01,2057400.667191407
32,2022-02-02,1987116.4604414057
33,2022-02-03,1950421.9469726563
34,2022-02-04,1934243.3960247403
35,2022-02-05,1718099.5978281253
36,2022-02-06,1666446.758901042
37,2022-02-07,1940656.2235976562
38,2022-02-08,1973998.2457747394
39,2022-02-09,1954786.391264323
40,2022-02-10,1914561.7733476565
41,2022-02-11,1920067.7095872394
42,2022-02-12,1766721.1780260426
43,2022-02-13,1633747.1679218747
44,2022-02-14,1944777.0363580731
45,2022-02-15,1964314.0408580725
46,2022-02-16,1980371.2918059907
47,2022-02-17,1870386.1728580734
48,2022-02-18,1833122.9562122384
49,2022-02-19,1666952.9173697906
50,2022-02-20,1550914.8693385415
51,2022-02-21,1896885.9812747396
52,2022-02-22,1901435.9077747392
53,2022-02-23,1855981.4282955732
54,2022-02-24,1868897.8494101567
55,2022-02-25,1880845.5883789053
56,2022-02-26,1696218.7013802088
57,2022-02-27,1621242.8472968747
58,2022-02-28,1892822.4153789058
59,2022-03-01,1917222.498920572
60,2022-03-02,1907685.5418372394
61,2022-03-03,1837710.5219518226
62,2022-03-04,1858614.2154622402
